Nitrogen Oxide,Ozone,PM2.5,PM10
35.09581,20.45593,12.392,83.538
34.96433,24.54711,14.616,12.392
39.63178,23.69894,15.116,14.616
47.73457,21.45378,17.811,15.116
64.37953,10.77678,19.486,17.811
67.85837,14.21936,18.637,19.486
67.37403,14.81807,19.788,18.637
83.40269,10.677,24.514,19.788
68.43116,18.46023,17.672,24.514
48.61432,34.87486,16.198,17.672
57.81822,31.9312,14.094,16.198
73.14308,23.10023,13.915,14.094
105.33285,10.97635,14.5,13.915
193.71091,3.94151,18.012,14.5
235.36898,1.84602,15.767,18.012
190.45297,1.49678,15.106,15.767
198.42379,1.59656,19.802,15.106
311.02175,1.49678,23.217,19.802
406.18153,1.3471,31.505,23.217
428.37562,1.54667,43.078,31.505
502.04655,1.54667,51.795,43.078
891.01032,1.84602,49.401,51.795
996.95948,2.32832,44.451,49.401
867.73057,2.26179,40.052,44.451
103.43948,1.24731,59.477,40.052
146.37367,1.29721,61.349,59.477
197.32267,1.49678,62.121,61.349
191.15772,1.49678,59.974,62.121
183.8032,1.44688,51.087,59.974
119.15927,3.39269,46.486,51.087
50.28823,12.57291,40.965,46.486
43.37502,17.9613,36.184,40.965
43.8149,20.80517,33.411,36.184
68.07831,15.317,35.955,33.411
71.91,14.6684,35.427,35.955
51.87369,17.9613,36.797,35.427
41.43718,20.55571,35.179,36.797
50.86055,17.21291,32.804,35.179
34.65593,20.15657,29.668,32.804
36.63728,19.35829,27.564,29.668
26.1128,28.23916,25.326,27.564
21.3129,34.07658,24.913,25.326
19.90387,36.17206,26.642,24.913
23.03033,29.63615,38.559,26.642
31.61745,18.11098,44.238,38.559
26.02482,22.95055,40.375,44.238
28.24125,21.42051,35.564,40.375
47.2056,13.03857,21.816,35.564
62.75008,10.42753,21.302,21.816
96.39287,4.83957,23.448,21.302
132.37034,3.64215,24.366,23.448
135.40883,3.54237,24.887,24.366
82.21407,8.6813,24.276,24.887
72.43833,11.12603,25.347,24.276
100.75289,6.73549,28.462,25.347
61.60497,15.66625,30.175,28.462
121.1411,4.93936,32.741,30.175
69.79621,15.46668,32.019,32.741
50.59662,28.93765,31.748,32.019
48.08647,30.88346,30.896,31.748
41.78956,34.32604,27.852,30.896
90.31638,15.9656,29.561,27.852
202.60643,3.44258,32.493,29.561
354.44028,1.54667,41.87,32.493
395.21669,1.54667,44.826,41.87
249.23939,1.24731,46.646,44.826
189.96863,1.3471,47.687,46.646
162.40233,1.24731,49.404,47.687
130.0806,1.3471,49.401,49.404
109.60346,1.19742,50.217,49.401
118.36654,1.46351,54.595,50.217
117.01695,1.06437,57.804,54.595
28.49099,49.59315,5.354,57.804
91.54946,13.9699,7.87,5.354
124.79588,6.48603,10.172,7.87
117.83869,7.23441,9.948,10.172
120.52479,6.23656,5.651,9.948
87.1904,15.01764,3.5,5.651
61.60545,23.59915,2.554,3.5
34.61147,50.24175,2.307,2.554
47.51463,43.9054,2.269,2.307
41.0848,54.98154,2.37,2.269
36.90169,58.37423,2.165,2.37
39.2794,56.82756,1.689,2.165
41.6576,58.72347,1.208,1.689
34.96385,60.22025,0.991,1.208
29.28324,55.33078,4.995,0.991
50.86103,28.38883,10.757,4.995
49.36354,30.78367,11.059,10.757
28.05064,42.85766,10.351,11.059
22.06117,49.59315,9.929,10.351
24.13097,45.2525,11.413,9.929
40.90838,34.27615,13.257,11.413
48.74676,25.9441,16.092,13.257
52.60714,20.8218,18.58,16.092
43.97666,19.49134,19.335,18.58
39.015,30.78367,1.708,19.335
78.73523,14.6684,1.785,1.708
79.57195,20.70539,1.592,1.785
58.435,31.88131,1.441,1.592
63.8512,24.44733,2.389,1.441
31.70495,46.30024,3.302,2.389
66.36136,26.74238,5.028,3.302
62.70657,29.53636,5.182,5.028
59.976,34.5755,4.795,5.182
68.82705,27.44088,6.042,4.795
58.96381,31.23271,6.087,6.042
61.86985,36.22196,4.519,6.087
77.63459,24.54711,2.851,4.519
67.94634,27.24131,3.309,2.851
107.84205,16.16517,3.705,3.309
78.60279,13.17162,3.276,3.705
104.18774,4.09119,3.37,3.276
89.56811,5.73764,2.851,3.37
59.44767,18.31055,2.111,2.851
45.44483,26.14367,2.34,2.111
27.65475,39.41508,2.741,2.34
21.22493,50.84046,2.807,2.741
13.91535,61.93322,3.375,2.807
14.14931,59.871,4.29,3.375
34.43552,25.69464,10.984,4.29
35.36069,26.99184,11.807,10.984
36.8577,27.9398,11.665,11.807
51.65376,20.95485,12.639,11.665
60.8132,13.9699,14.243,12.639
83.09478,7.3342,14.406,14.243
96.56978,2.24516,12.017,14.406
99.87266,6.78538,11.064,12.017
90.36037,17.71184,9.476,11.064
124.26756,8.23226,13.375,9.476
106.56593,7.58366,11.691,13.375
101.28122,9.47958,11.205,11.691
82.96234,13.12173,9.634,11.205
76.62144,17.46238,9.229,9.634
69.61978,16.41463,10.347,9.229
85.95731,9.28001,9.715,10.347
120.26039,1.9957,8.821,9.715
69.13544,7.38409,7.448,8.821
34.34754,24.69679,5.729,7.448
18.75876,36.6211,3.042,5.729
22.67795,29.33679,2.028,3.042
13.21059,46.94884,2.262,2.028
13.56281,46.96547,1.568,2.262
34.93436,29.13722,1.493,1.568
38.66262,2.24516,3.127,1.493
43.55049,1.24731,2.981,3.127
52.93083,0.74839,3.712,2.981
79.26356,0.44903,5.658,3.712
59.93201,0.84817,5.557,5.658
69.97216,0.44903,7.137,5.557
102.24942,0.44903,10.701,7.137
73.89135,0.49893,12.578,10.701
0,0,12.715,12.578
0,0,0,12.715
0,0,0,0
0,5.38839,0,0
80.76153,6.88517,13.201,0
71.20477,8.38194,11.981,13.201
74.50813,6.38624,11.429,11.981
76.75341,6.93506,10.745,11.429
57.64179,16.41463,9.149,10.745
29.10729,29.03744,7.882,9.149
20.16827,36.77077,6.509,7.882
20.74154,31.13292,7.785,6.509
16.55699,36.22196,6.809,7.785
15.23641,41.41078,6.448,6.809
21.31354,33.86038,9.854,6.448
28.53514,25.54496,10.597,9.854
28.05016,39.2654,7.604,10.597
43.19859,26.6426,7.542,7.604
50.949,25.14582,6.561,7.542
56.76157,23.10023,6.344,6.561
61.29706,22.75098,8.076,6.344
74.64057,17.66195,6.755,8.076
65.21673,21.35399,3.63,6.755
63.98317,24.84647,2.198,3.63
63.36734,28.83787,2.646,2.198
76.62144,26.24346,3.104,2.646
54.86819,26.14367,4.401,3.104
61.12111,21.45378,6.514,4.401
77.72209,11.17592,8.814,6.514
80.18778,7.73334,10.774,8.814
95.46913,5.03914,9.559,10.774
82.38954,4.39054,8.417,9.559
97.09763,3.19312,11.441,8.417
49.75943,8.38194,11.552,11.441
43.55049,9.72904,10.788,11.552
27.78671,15.86582,16.149,10.788
48.92366,11.77463,16.389,16.149
23.47068,13.77033,12.83,16.389
55.83671,4.92273,8.844,12.83
33.52549,3.32617,4.068,8.844
12.15394,66.35703,10.712,4.068
28.57849,50.79057,9.701,10.712
32.45417,47.34798,9.071,9.701
38.61911,41.51056,8.002,9.071
36.8577,41.61035,8.894,8.002
50.37668,29.78582,8.696,8.894
