Ozone,Nitrogen Oxide,PM2.5,PM10
10.2631,68.5024,1.459,2.336
8.12423,69.60004,2.399,3.633
9.27463,65.25939,2.438,3.742
11.35795,62.46541,1.513,2.422
7.84924,63.2138,1.428,2.066
9.11129,58.92304,1.224,1.915
7.30261,57.47616,0.85,1.445
7.74094,59.27229,0.698,1.279
8.84141,61.41767,0.449,0.8
8.23922,59.12261,0.333,0.788
5.82448,60.27014,0.304,0.51
11.36446,61.46756,0.574,0.932
12.34765,62.5153,1.386,1.943
20.57684,55.68003,2.772,3.825
16.89987,59.12261,3.561,4.788
13.49876,57.97509,5.6,7.664
9.0552,58.72347,5.172,7.495
6.36794,63.26369,4.179,6.266
10.92068,65.45896,3.98,5.32
0,64.39459,3.438,4.762
4.53903,64.26154,2.801,3.687
69.49386,0.94796,7.694,17.603
58.55163,10.27786,5.467,12.988
74.744,2.19527,5.951,14.01
88.11573,1.29721,5.771,9.941
84.06764,0.84817,5.256,9.552
76.81152,7.13463,3.758,6.476
61.74304,19.35829,2.513,4.317
53.12391,22.20216,3.172,5.172
24.36486,47.8968,1.872,5.062
16.95164,51.2396,1.677,2.866
16.8404,55.53035,2.085,3.43
14.15687,61.71702,2.579,5.111
17.94041,60.61939,2.288,4.692
26.28863,52.63659,2.268,4.222
32.43242,47.79702,1.57,3.138
32.52456,49.49336,1.442,3.018
24.68054,56.77767,1.26,2.93
12.88939,69.55015,1.103,2.237
11.29951,69.25079,1.069,1.624
5.8152,73.54155,1.518,2.276
4.82855,73.89079,2.655,3.785
9.04961,70.19875,3.769,5.402
0,71.17997,3.425,4.903
1.90503,70.58126,3.467,5.328
22.91282,44.00519,1.924,2.278
47.37806,14.31915,4.909,5.568
44.2408,23.54926,3.558,4.425
37.98489,31.78152,3.998,5.207
55.09788,21.45378,5.799,9.055
66.08655,7.53377,9.406,13.363
67.86718,5.53807,9.823,14.795
54.35707,13.02194,9.112,13.96
42.01265,25.14582,9.158,15.098
37.9624,30.78367,7.999,12.728
39.79533,32.13077,8.422,14.018
56.88587,19.35829,12.623,20.59
74.21371,13.92001,9.693,17.235
108.96978,3.39269,14.127,26.37
90.27394,1.89592,12.193,19.91
